구,"['口', '够', '句', '求', '久', '球', '九', '区', '具', '究', '救', '旧', '狗', '欧', '仇', '惧', '构', '勾', '扣', '购', '躯', '俱', '沟', '驱', '舅', '丘', '矩', '龟', '寇', '疚', '邱', '拘', '钩', '呕', '苟', '殴', '驹', '咎', '裘', '飓', '鸥', '垢', '篝', '抠', '瞿', '糗', '鸠', '岖', '蔻', '臼', '灸', '蚯', '妪', '佝', '俅', '厩', '柩', '玖', '韭', '衢', '媾', '瓯', '艽', '枸', '诟', '逑', '阄', '讴', '彀', '癯', '榘', '犰', '蝺', '沤', '毬', '夠', '朐', '伛', '缑', '劬', '區', '蠼', '懼', '遘', '桕', '歐', '屦', '鞲', '笱', '佉', '窭', '鰸', '氍', '觏', '軀', '岣', '構', '姤', '舊', '筘', '溝', '鸲', '璆', '蒟', '巯', '眍', '驅', '赇', '龜', '倶', '購', '犋', '钆', '釦', '呴', '昫', '韮', '臞', '搆', '坵', '鉤', '鈎', '痀', '邭', '玽', '煹', '冦', '嘔', '冓', '杦', '抅', '鼽', '毆', '雊', '爠', '奺', '眗', '愳', '摳', '捄', '跔', '鷇', '訄', '鼩', '灈', '簼', '廄', '駒', '瞉', '銶', '耇', '鳩', '倃', '廐', '埧', '胊', '撀', '麔', '欍', '泃', '鮈', '窶', '宼', '簆', '殏', '盚', '搝', '嶇', '軥', '躣', '竘', '韝', '耉', '耈', '蚼', '茩', '訽', '亀', '芶', '乆', '舏', '颶', '彄', '窛', '熰', '鷗', '漚', '蓲', '扏', '觓', '紌', '釚', '絿', '蛷', '駆', '敺', '斪', '葋', '鸜', '竬', '㐀', '㐜', '㐤', '㓂', '㔚', '㕤', '㖵', '㗕', '㘗', '㘳', '㙀', '㚱', '㛏', '㜹', '㝌', '㝤', '㞗', '㟈', '㡚', '㡱', '㣘', '㤹', '㧨', '㨌', '㪺', '㬬', '㭝', '㰶', '㲃', '㲄', '㲘', '㳋', '㳰', '㶢', '㸨', '㺃', '㺫', '㺵', '㻤', '㽛', '䀠', '䂂', '䃓', '䄔', '䅓', '䆒', '䈮', '䉩', '䊆', '䊵', '䋧', '䐟', '䑦', '䓻', '䙔', '䛮', '䜪', '䝭', '䞤', '䟬', '䟵', '䡂', '䣇', '䤛', '䥲', '䦰', '䧢', '䧱', '䧶', '䪷', '䬨', '䬲', '䮃', '䰗', '䲥', '䲫', '䳎', '䳹', '䳼', '䵶', '䶚', '丠', '丩', '傴', '剾', '劶', '勼', '匓', '匛', '匶', '厹', '叴', '坸', '嫗', '寠', '屨', '岴', '巰', '廏', '忂', '怐', '慦', '戵', '敂', '朹', '梂', '椇', '欋', '欨', '汣', '浗', '滱', '牞', '甌', '畂', '皳', '瞘', '粂', '絇', '緱', '翑', '聥', '肍', '脙', '膒', '萛', '蔲', '蘒', '蠷', '袧', '褠', '覯', '觩', '訅', '詬', '謳', '豿', '賕', '釓', '鑺', '镹', '韯', '駈', '鬮', '鯄', '鯦', '鴎', '鴝', '齨']"
첨,"['尖', '甜', '签', '添', '沾', '舔', '詹', '檐', '瞻', '谄', '佥', '忝', '湉', '裣', '锘', '韂', '簽', '簷', '掭', '讇', '襜', '籤', '餂', '鑯', '敁', '冿', '諂', '菾', '嶦', '幨', '灊', '酟', '裧', '沗', '僉', '婖', '甛', '燂', '噡', '㐁', '㑒', '㔐', '㖭', '㙴', '㚲', '㜬', '㡨', '㤁', '㤐', '㦰', '㬲', '㮇', '㵇', '㶺', '㾆', '䄡', '䄼', '䇝', '䋬', '䏦', '䑚', '䞌', '䠨', '䦓', '䪜', '厃', '悿', '惉', '櫼', '瀐', '瀸', '籖', '籡', '舚', '虃', '襝', '鋓', '鍩', '鐱', '閚', '黇']"
칠,"['七', '漆', '柒', '㐂', '㓒', '㓼', '㓿', '㔑', '㭍', '㯃', '䜉', '䣛', '桼']"
마,"['吗', '马', '魔', '妈', '麻', '嘛', '摩', '磨', '码', '玛', '麽', '蚂', '嬷', '蟆', '蘑', '麼', '嗎', '犸', '馬', '媽', '唛', '杩', '碼', '麿', '痲', '螞', '瑪', '嚒', '嬤', '蔴', '擵', '傌', '耱', '嫲', '犘', '祃', '嚰', '劘', '禡', '溤', '蟇', '嚤', '藦', '礳', '㐃', '㐷', '㦄', '㾺', '䃺', '䔍', '䗫', '䘞', '䜆', '䣕', '䣖', '䧞', '䩋', '䭩', '䯢', '䲈', '䳸', '亇', '吀', '哶', '嘜', '尛', '懡', '戂', '榪', '獁', '鎷', '饝', '髍', '鬕', '鰢', '鷌']"
과,"['过', '果', '科', '课', '颗', '瓜', '夸', '锅', '裹', '戈', '跨', '棵', '寡', '垮', '踝', '剐', '夥', '過', '挝', '蝌', '窠', '稞', '侉', '埚', '锞', '髁', '猓', '課', '檛', '顆', '骒', '咵', '粿', '蜾', '餜', '銙', '菓', '馃', '鍋', '嵙', '誇', '濄', '恗', '骻', '姱', '坬', '腂', '冎', '剮', '撾', '薖', '荂', '煱', '鈛', '晇', '膼', '敤', '㐄', '㗻', '㚌', '㛻', '㡁', '㧓', '㪙', '㳀', '㳡', '㶽', '㸯', '㼫', '㽿', '㾧', '㿆', '䆼', '䈑', '䈖', '䌀', '䙨', '䠸', '䣬', '䫚', '䯄', '䯞', '䴹', '堁', '堝', '惈', '歄', '淉', '犐', '瘑', '簻', '綶', '舿', '萪', '諣', '踻', '輠', '錁', '鐹', '騍']"
오,"['五', '吴', '午', '误', '傲', '奥', '乌', '悟', '伍', '呜', '吾', '污', '捂', '噢', '熬', '娱', '敖', '唔', '梧', '澳', '懊', '嗷', '坞', '袄', '晤', '鳌', '獒', '蜈', '骜', '忤', '鏖', '遨', '仵', '钨', '媪', '焐', '螯', '岙', '璈', '寤', '鏊', '俣', '摀', '痦', '牾', '圬', '浯', '聱', '誤', '肟', '噁', '烏', '迕', '奧', '鼯', '汙', '嗚', '廒', '爊', '杇', '奡', '吳', '磝', '鰲', '呉', '旿', '滶', '娛', '洿', '乄', '鷔', '鋘', '隩', '鐭', '筽', '弙', '汚', '悮', '謷', '鼇', '驁', '郚', '瑦', '镺', '鏕', '鄔', '歍', '螐', '鴮', '厫', '襖', '遻', '鎢', '鰞', '娪', '俉', '蘁', '㐅', '㑨', '㜜', '㜩', '㟼', '㠂', '㠗', '㢪', '㤇', '㥿', '㩠', '㬳', '㮧', '㱬', '㹳', '㻍', '㾲', '㿰', '䃖', '䎸', '䐿', '䓊', '䖚', '䛩', '䜑', '䜒', '䞛', '䡧', '䥝', '䦋', '䦜', '䫓', '䫨', '䮏', '䮯', '䯠', '䴈', '䴠', '䵅', '啎', '嗸', '圫', '埡', '塢', '墺', '娯', '嫯', '嵨', '嶅', '嶴', '忢', '悞', '慠', '扷', '摮', '擙', '汻', '洖', '溩', '澚', '熓', '獓', '玝', '珸', '祦', '窏', '窹', '繺', '脵', '茣', '蔜', '謸', '趶', '迃', '逜', '隖', '隞']"
은,"['听', '隐', '恩', '银', '稳', '嗯', '殷', '瘾', '摁', '垠', '垦', '鄞', '隱', '銀', '狺', '蒽', '峎', '訚', '隠', '癮', '慇', '嚚', '憗', '蒑', '慭', '犾', '珢', '穏', '訔', '龂', '溵', '櫽', '憖', '乚', '泿', '懚', '㐆', '㒚', '㕶', '㙬', '㡥', '㤙', '㥯', '㥼', '㦩', '㴈', '㶏', '㹜', '㹞', '䅰', '䇵', '䌥', '䓄', '䖐', '䖜', '䨸', '䭡', '䴦', '圁', '垽', '峾', '嶾', '斦', '檃', '檭', '檼', '濦', '煾', '猌', '磤', '蘟', '誾', '讔', '齗']"
굴,"['屈', '掘', '窟', '倔', '崛', '堀', '诎', '朏', '胐', '淈', '鶌', '袦', '誳', '趉', '镼', '㐇', '㐝', '㩿', '㪂', '㭾', '㵠', '㻕', '䂗', '䓛', '䖦', '䘿', '䞷', '䠇', '崫', '弡', '煀', '虳', '詘']"
둘,"['㐈', '㐙', '乧']"
절,"['绝', '切', '节', '折', '截', '窃', '浙', '沏', '絕', '疖', '節', '晢', '絶', '楶', '棁', '晣', '竊', '尐', '卩', '撧', '蕝', '苆', '卪', '岊', '㐉', '㑜', '㔃', '㔢', '㔾', '㗫', '㦢', '㪿', '㮞', '㸅', '㸞', '䁀', '䏳', '䓆', '䕙', '䗻', '䘁', '䟙', '䩢', '䪼', '䫕', '䲙', '嶻', '幯', '擮', '棳', '癤', '聺', '蠘', '蠞', '蠽', '趃', '镻']"
